1	43.0033
2	83.6412
3	120.985
4	163.418
5	112.302
6	133.654
7	155.508
8	177.809
9	135.569
10	149.163
11	163.98
12	178.762
13	144.499
14	154.484
15	165.63
16	176.413
17	149.381
18	157.353
19	166.097
20	174.805
21	152.878
22	159.504
23	166.924
24	174.069
25	154.992
26	160.578
27	166.989
28	172.837
29	157.14
30	162.111
31	167.666
32	172.787
33	157.896
34	162.13
35	166.931
36	171.517
37	158.556
38	162.276
39	166.995
40	170.835
41	158.779
42	162.32
43	166.175
44	169.781
45	159.564
46	162.88
47	166.562
48	169.728
49	159.61
50	162.651
51	165.956
52	168.848
53	159.729
54	162.454
55	165.47
56	168.213
57	159.475
58	162.112
59	164.753
60	167.426
61	159.612
62	161.94
63	164.887
64	167.445
