1	42.788
2	83.6735
3	123.1
4	164.155
5	113.144
6	134.71
7	156.894
8	179.233
9	135.754
10	149.641
11	164.628
12	179.571
13	145.164
14	154.987
15	166.06
16	177.082
17	149.921
18	157.735
19	166.653
20	175.328
21	153.228
22	159.855
23	167.302
24	174.337
25	155.164
26	160.83
27	167.243
28	172.968
29	157.256
30	162.283
31	167.772
32	172.926
33	157.996
34	162.233
35	167.114
36	171.553
37	158.674
38	162.252
39	167.113
40	170.918
41	158.95
42	162.429
43	166.22
44	169.869
45	159.575
46	162.91
47	166.581
48	169.768
49	159.718
50	162.823
51	166.099
52	168.94
53	159.973
54	162.72
55	165.778
56	168.537
57	159.813
58	162.283
59	165.064
60	167.694
61	160.003
62	162.368
63	165.236
64	167.733
