1	39.9542
2	78.8936
3	115.932
4	155.532
5	114.072
6	135.574
7	157.823
8	180.552
9	136.499
10	150.205
11	164.955
12	180.077
13	147.038
14	157.09
15	168.29
16	179.52
17	151.264
18	159.625
19	167.825
20	176.66
21	155.274
22	161.919
23	169.422
24	176.519
25	156.606
26	162.228
27	168.672
28	174.715
29	159.034
30	164.089
31	169.735
32	174.938
33	159.553
34	163.788
35	168.659
36	172.911
37	160.989
38	164.348
39	169.386
40	173.114
41	160.82
42	164.331
43	167.978
44	171.483
45	161.262
46	164.761
47	168.545
48	171.442
49	160.724
50	164.081
51	167.111
52	169.941
53	161.348
54	164.142
55	167.055
56	169.855
57	160.724
58	163.063
59	165.761
60	168.421
61	161.343
62	163.547
63	166.541
64	170.309
